;sotok;summa;keys;url;text
342;80;30000;['/6-bedrooms'. '/no'. '/owner'];https://lalafo.kg/bishkek/ads/prodam-dom-150-kv-m-6-komnat-id-82927754;Продаю или меняю на авто. Кемин Быстровка Кашкелен. Большой Дом по трассе. огород 50 соток. есть сарай. можно под бизнес.  3 гектара землёй. Цена 30000$
507;76;70000;['/3-bedrooms'];https://lalafo.kg/bishkek/ads/prodam-dom-40-kv-m-3-komnaty-id-80485200;Продам участок.землю. Продаю участок Горная Маявка. 70 соток по документам. 90 по факту. свет. вода круглый год. есть прописка внутри села. рядом с горами. Ровна 20км от кольца на Ахунбаева. красная книга. назначение- приусадебный участок. вокруг живут люди.есть баня и есть три сарая. Очень удобно под ферму. держать курей.  выращивать малину. под теплицу. от трассы километр на север. последняя улица. В доме печное отопление. две комнаты+прихожая. Очень много сладкой чёрной алчы. 70 000 $ за нал торг. возможен бартер авто+нал. на бартер дороже в зависимости от стоимости авто. Посредников просьба не беспокоить!
848;75;50000;['/3-bedrooms'. '/owner'. '/yes'];https://lalafo.kg/bishkek/ads/prodam-dom-80-kv-m-3-komnaty-id-62402869;Продается дом с ремонтом:три желых комнаты.кухня плюс ванная комната. 80 кв. также имеется гараж со сматровой ямой на всю машину. есть газ ( комбинированное отопление)  домашний телефон интернет акнет. В начале с. Маевка молодая гвардия пересекает ул. весёлая участок 7 соток. Цена 50. 000$. Есть красная книга. 
393;75;39900;['/7-bedrooms'. '/no'. '/novopavlovka'. '/owner'];https://lalafo.kg/bishkek/ads/prodam-dom-180-kv-m-7-komnat-id-67932321;Продаю кирпичный  дом  2х этажный. участок 7соток. Район Заря возле трассы. Удобное транспортное положение.  Свет вода имеется. газ можно провести  Красная книга. торг возможен просим сразу звонить 
466;75;25000;['/3-bedrooms'. '/belovodskoe'. '/no'. '/owner'];https://lalafo.kg/bishkek/ads/prodam-dom-30-kv-m-3-komnaty-id-76957601;СРОЧНО! ПРОДАЖА Дома с большим участком под строительство и.п.Московский он.С Петровка.напротив АкСуу поворота.по ул.Шевченко 104!новые хозпостройки.тапсан.навес.баня.гараж.двор бетонирован. участок огорожен пескоблок. артезьян.арычный полив.пруд.плодородные деревья.цветы.малина.3огорода.сенокос большой собственный огорожен тополями карагачами.грецкий орех несколько плодовитых деревьев.яблони.летний душ. курятник.сараи.комната очок на 2казана.дрова готовые.дом из 3комнати веранда+3ком времянка отдельно. отопления печное. магазин.2собаки верные сторожи! Также есть поддоны покрашенные лаком новые-200 сом штука.Класное место для большой семьи и разведение крупного скота.и ведение магазин бизнес на дому.Внимание Срочная Цена! Подробнее по телефону: Ватсапп.
787;72;34000;['/4-bedrooms'. '/no'];https://lalafo.kg/bishkek/ads/prodam-dom-72-kv-m-4-komnaty-id-53972332;ПРОДАЮ: Большой. кирпичный дом. в Маевке ( начало ул.Новая ). 4-е комнаты. жилая 2-х комнатная времянка (кирпичная). Общая площадь дома: 72м². жилая площадь дома: 58м². на земельном участке 6.83 сотки (красная книга). Под всем домом. большой подвал. Есть газ.свет.вода. комбинированное отопление. На участке имеются: баня. складские помещения. хозпостройки и помещения для содержания скота. большой двор. ПРОШУ: 34000$. МИНИМАЛЬНЫЙ ТОРГ. варианты обмена НЕ ПРЕДЛАГАТЬ!!!
322;70;57000;['/6-bedrooms'. '/owner'. '/yes'];https://lalafo.kg/bishkek/ads/prodam-dom-147-kv-m-6-komnat-id-82995641;*Продаю дом мечты!* *Дом у берега озера Иссыку-куль!* Жети Огузский район. село Даркан! От центра села до дома 5км.. от дома до пляжа 500метров. круглый год можно рыбачить! Участок 40 соток 40*100метров. красная книга (сельхоз. назначение). *по факту 70 соток* ( в круговую огорожена ). Дом 2 этажный 144м2. *на 1 этаже* - холл-52м2. две жилые комнаты по 8.5м2. сан.узел душевая кабина и туалет в доме -5м2. парильная-4м2. топочная-4м2. *на 2 этаже* -  холл-16м2. две жилые спальни по 18м2. две кладовые по 6м2. Итого в доме 4 спальни и 2 кухни. рассчитан на 20-25 человек! Подведено электричество. вода скважина 42метра. горячая вода аристон 100 литров. во дворе есть бассейн 6*4 метра. глубина 2 метра. отопление топка. два балкона – *1 с видом на озеро*. во дворе есть навес.сад.ели.цветы. дом построен из контейнера. пристройка из пескоблока. утеплена. *в 2х этажах батареи*. окна пластик. *в доме 2 кухни*. приготовление под газовый баллон и электро. навесные потолки. *решетки на окнах*. *все сделано с душой и для себя*. *дом строили не для продажи!* *Продаем в связи с выездом!* оцениваю на обмен *57000$* за наличный расчет *хороший торг!*  ватс ап!
520;70;50000;['/4-bedrooms'. '/no'];https://lalafo.kg/bishkek/ads/prodam-dom-430-kv-m-4-komnaty-id-58043338;Продается дом под бизнес Карпинка/Иваницина. по центр. трассе красная книга. 4.3с. 4к+кух+с/у. все коммуникации. ц/к рядом. сост.обычное. пойдет под строительства швейного цеха. офиса и т.д. или обмен на дом в этом районе цена 50000$..
747;70;25000;['/4-bedrooms'. '/kok-zhar'. '/no'. '/owner'];https://lalafo.kg/bishkek/ads/prodam-dom-70-kv-m-4-komnaty-id-57978535;"Срочно! Срочно! Срочно! Продается дом с жилым подвалом- на дачном поселке""Горный Ветерок"". Таштар-Ата. Есть полигон.  Свежий и чистый воздух. красивая природа. По дороге есть Конный парк""Гайд парк"". центр отдыха ""Хуторок"". Участок 6 соток. Дом из двух уровней. Подвал размером 7 на 5 метров. И второй этаж из 3 комнат. Ремонт новый. Окна пластиковые. потолки натяжные и пол. В саду есть груши.яблоки. абрикос. малина. вишня. белая черешня. чернослив. виноград.  Очоккана есть."
581;67;25000;['/3-bedrooms'. '/no'. '/owner'];https://lalafo.kg/bishkek/ads/prodam-dom-51-kv-m-3-komnaty-id-67428251;Срочно продаю дом! Свердловский  район.Кирпичный завод Красный строитель. Газ.водопровод. свет 3 фазы. телефон. 
801;65;69500;['/4-bedrooms'. '/owner'. '/rabochij-gorodok'. '/yes'];https://lalafo.kg/bishkek/ads/prodam-dom-74-kv-m-4-komnaty-id-77436337;Продаётся теплый. уютный дом с мебелью  в Рабочем городке.  площадь участка 6.5 соток. Общая площадь дома 74 кв.м. 4 комнаты. высота потолков 2.90. Проведен ремонт. покупай  и живи. Дом очень теплый (отопление газ. можно твердое топливо. очень экономное). Все коммуникации: газ. свет. вода (2 водопровода).аристон. септик.   Сан узел в доме.  Интернет.гор.телефон.WI-FI. спутниковое ТВ. Имеются хоз. постройки. Большой плодоносящий сад (все саженцы привезены из Европы). Есть возможность постройки второго большого  дома. Переулок заасфальтирован. Дружные соседи. Все инфраструктуры в шаговой доступности. школы.дет.сады.  Рядом рынки Баткен.Ошский. Магазины Глобус и тд. Цена 69 500 S.
999;65;37000;['/4-bedrooms'];https://lalafo.kg/bishkek/ads/-id-45136021;Продаю полдома кирпичный. + двух комнатная времянка кирпичный. утепленный. евро ремонт. есть хороший молодой сад. гараж. фундамент дома высокий. Уч. 6.5 соток. Напротив хороший новый детский сад. Р-н В-Антоновка не доезжая до авторынка. Или меняю на квартиру в городе.
640;60;54000;['/4-bedrooms'. '/yes'];https://lalafo.kg/bishkek/ads/prodam-dom-60-kv-m-4-komnaty-id-48533807;Продаю или меняю коттедж 60 м2 на Иссык-Куле с. Чон-Сары-Ой  с двумя спальнями. кухня +гостиная студия. терраса с видом на озеро. гостевой 2-х этажный дом на 4 взрослых места +2 детских места  100 метров от берега . 6 соток. радоновая вода. очок-барбекю.  сортовые розы. ели. сосны. небольшой сад. отличное красивое место для отдыха и бизнеса. есть место для  строительства ещё большого гостевого дома  
560;60;50000;['/3-bedrooms'. '/yes'];https://lalafo.kg/bishkek/ads/prodam-dom-50-kv-m-3-komnaty-id-58513544;Продаю коттедж на Иссык Куле село Чок Тал пансионат Париж.  Со всеми удобствами. терессой и хоз. постройкой. Возможны варианты обемена
878;58;34000;['/5-bedrooms'. '/owner'. '/yes'];https://lalafo.kg/bishkek/ads/prodam-dom-80-kv-m-5-komnat-id-63661234;Продаю дом в городе Токмак. район ГорГаз и 2й школы. В 10 минутах от главного базара.  Дом после ремонта (6 соток) и времянка шикарная. баня. кладовка. небольшой огород. 3х фазка.. в общем Заходи и Живи.  Дом действительно хороший. Ул. Набережная дом 13. пересекает ул Зоя Космодемьянской 
669;55;55000;['/6-bedrooms'. '/no'. '/owner'];https://lalafo.kg/bishkek/ads/prodam-dom-60-kv-m-6-komnat-id-67455421;Продаю дом в с. ОРТО САЙ. Уч 5.5соток
307;55;55000;['/5-bedrooms'. '/no'];https://lalafo.kg/bishkek/ads/prodam-dom-140-kv-m-5-komnat-id-62813174;Продается не достроенный дом .в очень хорошим районе .Алтын ордо не далеко от ул  Горкого  .
586;53;26000;['/2-bedrooms'. '/mossovet'. '/yes'];https://lalafo.kg/bishkek/ads/prodam-dom-53-kv-m-2-komnaty-id-75089380;Продаю дом . в центре . льва Толстого / Логвиненко. Дом барачного типа свой двор . 40кв
971;52;70000;['/4-bedrooms'. '/owner'. '/yes'];https://lalafo.kg/bishkek/ads/prodam-dom-95-kv-m-4-komnaty-id-67013005;Продаем дом с готовым бизнесом! В районе Кызыл- Аскер. Площадь участка 5.2 соток. дом 95кв/м хороший участок квадратный. Швейный цех со всем оборудованием! Теплый. уютный свой уголок.  Дом утеплен пенопластом. наружная отделка декоративная штукатурка. огорожен забором. новые красивые ворота. полностью новая крышка. Пpoсторный зал. двe спальни. куxня. пpиxoжая. Отопление угольное. температура держится постоянно. электричество 3 фазовое. канализация. Есть возможность провести газ (не успели в этом году). Местоположение дома в районе с хорошей инфраструктурой и транспортной доступностью: до ближайшей остановки транспорта менее 300-600 метров! В шаговой доступности расположены школа. милиция. почта. Всегда тихо безопасно.  На участке вода. Плодоносит абрикосы. вишня . слива.На участке готов фундамент. подстройка под баню. кухню.   А также имеется рабочий бизнес швейный цех которому более 10 лет: 10 прямострочек. петельная. пятинитка. оверлок. распашивалка. закройный стол 5 метров. майман все лекало есть действующий цех более 10 лет. Оборудование соответственно всё рабочее как полагается меняется для приятной работы! В доме остаётся ВСЯ мебель. Одним словом заходи. живи. работай остается слезы счастья вытирать. Лучше oдин рaз увидеть. чeм упуcтить прекрасную вoзмoжнocть! И за всё эти прелести просим 70$ тыс. Реальным клиентам уступим. Причина продажи-переезд.  
563;50;70000;['/3-bedrooms'. '/archa-beshik'. '/no'. '/owner'];https://lalafo.kg/bishkek/ads/prodam-dom-50-kv-m-3-komnaty-id-81440406;Продаю частный дом районе Арча-Бешик. Приблизительный ориентир (Чортекова/Ахунбаева) Участок: 8 соток. 2-х этажный дом строящийся 11×10 Склады. баня. летний душ. тапчан. всё есть для удобства. Есть красная книга и прочее документы. Проведены канализация. газ. интернет. Реальным клиентам небольшой торг.
725;50;31999;['/4-bedrooms'. '/no'. '/owner'];https://lalafo.kg/bishkek/ads/prodam-dom-69-kv-m-4-komnaty-id-61610231;Срочно!!! Срочно Продаю дом!!! 4-× комн. участок 52 соток. Можно под бизнес!  участок благоприятен для возведение кашары или строительство любых сооружении! В доме есть Вода. свет! от города 15 км. село Кунтуу!!! (Чон -жар)Асфальтированная дорога до дома. есть хоз постройки. сад. огород. Расмотрю варианты обмена! На авто с доплатой мне!!!  цена 32000 $ тел 
103;50;25000;['/5-bedrooms'. '/no'. '/owner'];https://lalafo.kg/bishkek/ads/prodam-dom-100-kv-m-5-komnat-id-62017655;Үй сатылат кара балтадан эркинсай айылында участогу 25сотык ул К.Жуматаев 58 үлүш жери менен 3га баасы 25 000 $$$ доллар мал бакканга шартыбар     
730;50;25000;['/2-bedrooms'. '/owner'];https://lalafo.kg/bishkek/ads/prodam-dom-70-kv-m-2-komnaty-id-64746494;Продаю дом в селе Чельпек Ак-Сууйского района Иссык-Кульской области. огород  50 сот.. полностью засажен яблонями (ежегодный урожай приносит хороший доход). свет. вода. красная книга. тех.паспорт. 
397;50;25000;['/15-bedrooms'. '/no'. '/owner'. '/sokuluk'];https://lalafo.kg/bishkek/ads/prodam-dom-190-kv-m-15-komnat-id-83626986;Уй сатылат Бишкектин Сокулугунан адрес Нижний Чуйский  ул.Заводская 8   2 этаж уй сатылат Узуну 28 метр Турасы 7.5 метр Агарод 50 соток жери кенири Суу свет бар  Кенири маалымат  Телефон Ватсап + 
556;50;20000;['/2-bedrooms'. '/no'. '/owner'];https://lalafo.kg/bishkek/ads/prodam-dom-50-kv-m-2-komnaty-id-64985820;Уй (времянка)сатылат! обл. Ыссык Кол. р. Ак Суу с. Челпек 2 комната алма багы менен 50 сотка!  баасы 30.000 $
1;50;20000;['/15-bedrooms'. '/owner'. '/yes'];https://lalafo.kg/bishkek/ads/-id-83798513;Ассалом алейкум туугандар.Нарын об.Кочкор рн.Комсомол айылынан.Сарай сатылат.Свет.суусу.4 гектар жер.Кралин бар жанында баасы суйлошобуз жол жобосу бар.
498;46;50000;['/3-bedrooms'. '/kyzyl-asker'. '/owner'. '/yes'];https://lalafo.kg/bishkek/ads/prodam-dom-390-kv-m-3-komnaty-id-63923168;"Продаётся пол.дома в центре Кызыл-Аскера (уч. 4.6 соток).  В доме  имеется 3 жилых комнат. также кухня и прихожая. вода в доме. газофицирован. Во дворе имеется жилая 2х ком времянка (отлично подходит под сдачу кв. и бизнес). не достроеная баня. углярка с погребом. летняя зона под навесом и место для 2х машин. также  двор уложен бетонными плитами. Рядом в 2х шагах имеется: школа. дет.сады. аптеки. магазины. ""Глобус"" и поликлиника.  Цена 45.000$ торг уместен при осмотре."
989;45;65000;['/5-bedrooms'. '/owner'];https://lalafo.kg/bishkek/ads/prodam-dom-98-kv-m-5-komnat-id-77266506;Продаю дом Алтын ордо(полицейский городок) по горького вдоль быстротока 90% законченный площадь 98м3 участок 4.5 рассчитана 2 этажа на территории также есть огород.Чистый воздух вид на горы. тихий район.Свет вода отопление проводят газ и канализацию.Во дворе 2 склада место для очокана.внутри дома очень большой зал хол 46м2 просторный коридор 3 спальни кухня душевая и топка.Также по генплану от Кок -жара до Тунгуча пройдет ул.Ахунбаева.ЦЕНА :65.000$
991;45;35000;['/5-bedrooms'. '/altyn-ordo'. '/no'. '/owner'];https://lalafo.kg/bishkek/ads/prodam-dom-99-kv-m-5-komnat-id-43317908;"Продаю или меняю на квартиру в бишкеке недостроенный дом 11×9  с мансардой в ""полицейском городке"" участок 4. 5 соток.красная книга.Газ .вода и центральная канализация имеется"
449;45;30000;['/10-bedrooms'. '/alamedin-1'. '/no'. '/owner'];https://lalafo.kg/bishkek/ads/prodam-dom-250-kv-m-10-komnat-id-81346006;Срочно Уй сатылат Кызыл кетеп суу свет трёх фазка Биримдик-Кут навастройкада Аламедин району дордойго Аламидинге жакын жолгожакын 35мин штук кирпич кеткен аябай жакшы салынган проект менен крыша эн калын лис менен жабылган фундамент качественный куюлган же алмашабыз суйлошобуз баасын
522;44;16000;['/3-bedrooms'. '/no'. '/owner'];https://lalafo.kg/bishkek/ads/prodam-dom-44-kv-m-3-komnaty-id-83760297;"Срочно продаю дом.барачного типа.3комнаты. дворик на 2машины.душ.туалет во дворе.вода в доме.Дом из кирпича.Рассмотрим варианты.Район ""Красный строитель"" Просим16000 .$"
281;43;35000;['/5-bedrooms'. '/owner'. '/yes'];https://lalafo.kg/bishkek/ads/prodam-dom-130-kv-m-5-komnat-id-78372852;Продаеться дом смансардой утеплён есть двух ком временемка.баня. отопление комбинированное удобства в доме. Фундамент высокий без ремонта 130кв/сотых .4.3 сх с мебелью   манаса Можайского ..
791;40;45000;['/4-bedrooms'. '/no'. '/owner'. '/sokuluk'];https://lalafo.kg/bishkek/ads/prodam-dom-72-kv-m-4-komnaty-id-81813010;Продаётся дом. 4 комнаты+кухня и веранда застекленная. высокий фундамент. Село Национальное 20 мин (14км) езды от Сокулука. Строили немцы. стены толстые. потолки стеклянные. окна БОЛЬШИЕ. Имеется баня. сарай для (баранов. кур. индюков. лошадей) земля 40 сот. Есть колонка с чистой водой. Есть ссылка на видео YouTube.
500;40;35500;['/1-bedroom'. '/dzhal'. '/owner'. '/yes'];https://lalafo.kg/bishkek/ads/prodam-dom-40-kv-m-1-komnata-id-82977354;"Продаю 1-комнатную Элитку в Джале по Магистрали; Состояние: с ремонтом и част меб; 40м2; Этаж: 4 из 13; СК «Мерибл иншат»;  Продаю 1-комнатную Элитную квартиру в Джале  (Магистраль/ Тыналиева);  Этаж 4 из 13; Дом бизнес Класса; ДОМ СДАН В ЭКСПЛУАТАЦИЮ. ТЕХ ПАСПОРТ ЕСТЬ;  Застройщик: Строительная Компания «Мерибл иншат» Дом Кирпичный;  Состояние Квартир с ремонтом и частично мебель; Коммуникации в Доме все Центральные Утепление дома из Базальтового волокна;   Общая Площадь квартиры: 40м2 Цена: 35500   Обращайтесь по телефону:  Whats app "
420;40;35000;['/6-bedrooms'. '/belovodskoe'. '/no'. '/owner'];https://lalafo.kg/bishkek/ads/prodam-dom-200-kv-m-6-komnat-id-79572421;
641;40;22000;['/4-bedrooms'. '/no'. '/selektsiya'];https://lalafo.kg/bishkek/ads/prodam-dom-60-kv-m-4-komnaty-id-56535465;Үй сатылат 40 сотка жери менен. Кызыл-Туу айылында. 4 бөлмөлүү . гаражи бар! 
301;40;22000;['/3-bedrooms'. '/owner'. '/yes'];https://lalafo.kg/bishkek/ads/prodam-dom-140-kv-m-3-komnaty-id-82941688;Продаю дом. село Ананьево. ул.Альчиева 25. 3 жилых и веранда. 40 соток огорода. Не далеко от центра и школы. садика. Прошу 22000$.
605;40;15000;['/5-bedrooms'. '/kaindy'. '/no'. '/owner'];https://lalafo.kg/bishkek/ads/prodam-dom-55-kv-m-5-komnat-id-83489898;Продаю дом. продаётся дом село Партсъезд 15 Панфиловский район . Цена 15 000 торг уместен 
34;40;15000;['/4-bedrooms'. '/no'. '/owner'];https://lalafo.kg/bishkek/ads/prodam-dom-10-kv-m-4-komnaty-id-83569453;Продам  Панфиловка  на трассе
486;38;28000;['/3-bedrooms'. '/owner'. '/shlagbaum'. '/yes'];https://lalafo.kg/bishkek/ads/prodam-dom-35-kv-m-3-komnaty-id-81783105;Сатам 3 комн уй барачного типа. + прихожка. сарай.септик. погреб уй ремонттолгон. мебелдери менен .участок3.8 сотка . кочобуздо центральный канализация бар.кошуналарда газ бар адрес шлагбаум кумарык кочосу
446;37;50000;['/5-bedrooms'. '/kara-balta'. '/no'. '/owner'];https://lalafo.kg/bishkek/ads/prodam-dom-240-kv-m-5-komnat-id-83491417;Продаю большой дом 5ком. . 240м  участок 37сот. кухня. сталовая. + летник. 2 санузла.  ванная джакузи и т. д. все условия. отопления 3фазка + твердое топливо . обмен на авто или квартиру в бишкеке с доплатой в обе стороны! дом находиться в карабалте( с новониколавека). + 500 тополей( в бонус)!!!
456;37;26000;['/2-bedrooms'. '/no'. '/owner'. '/zapadnyi-avtovokzal'];https://lalafo.kg/bishkek/ads/prodam-dom-27-kv-m-2-komnaty-id-77991234;Продаю полдома. дом находится в районе западного автовокзала по улице Лесхозная .все коммуникации есть.дорога асфальтированная участок 3.7 соток Цена 28000торг Тел:  W/a
856;35;52000;['/4-bedrooms'. '/no'. '/owner'. '/tserkov'];https://lalafo.kg/bishkek/ads/prodam-dom-80-kv-m-4-komnaty-id-60835754; Продаю участок  по күренкеева  пересекает логвиненко в участке влаги  нет. сухой.Квадратное расположение. Для строительства классно можно и под бизнес на первой линии. 52000$ 3.5 сотых центр. Место для особняка есть..Можно построит  заменамасла. автомойку.салон.подофис  гостиницу или сто..кафешку или магазинчик..замена масло ...или авточапчасти магазин...Канализация.вода с хорошим напором.газ.свет.!..      Есть ещо другом квадрате имеется участок  8 сотых тоже центр но по дороже 130000$ держинский куренкеева пересекает! 
982;35;42000;['/5-bedrooms'. '/yes'];https://lalafo.kg/bishkek/ads/prodam-dom-96-kv-m-5-komnat-id-59611908;Дом из 5 комнат 76м2 + кухня и баня вместе 96м2. Летняя кухня. Все хоз постройки. дома есть все условия. Огород 25 сот (поливается арычная водой и скважиной). Чуйская область. Московский район. Рассмотрим обмен на квартиру в городе Бишкек.
861;35;30000;['/4-bedrooms'. '/kudajbergen'. '/no'. '/owner'];https://lalafo.kg/bishkek/ads/prodam-dom-80-kv-m-4-komnaty-id-75724460;Благостройенный дом +времянка  газ интернет участок   Красный книги нет  скоро будет доверенность  Военный часть 212мар конечный  садик школа рядом От трассы пятый дом обмен на  двух или трёх ком квартиру
22;35;28500;['/4-bedrooms'. '/no'. '/owner'];https://lalafo.kg/bishkek/ads/prodam-dom-1-kv-m-4-komnaty-id-83571678;Срочно. срочно. срочно!!!! Продаю или меняю дом г. Бишкек район Пишпек. по ул. Амосова-Крылова из 4 комнат. все коммуникации: газ. вода. канализация. свет. Дом кирпичный. теплый. двор крытый. вместимость 3 машины. Общая площадь 3.5 соток. дом 42 кв.м. Отопление газ. свет. уголь комбинированное. Пристроена баня. котельная. кладовка. *Без посередников. рассматривается обмен на авто* Прошу *28500* $ На обмен цена дороже  Контактные номера                   
766;34;32000;['/4-bedrooms'. '/owner'. '/yes'];https://lalafo.kg/bishkek/ads/prodam-dom-70-kv-m-4-komnaty-id-82885626;Дом70 кв  +времянка +навес для авто Рабочий городок уч 3.4сот. Газ 3фазка 25 кв школа рядом.
